begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
04:51.4,04:52.3,17,,,,,Wife_W01_WW,听你们聊天啊,tīng nǐmen liáotiān a ,He just listened to what you two were talking [+ particle a],hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,听,,,contract:proclaim,就,啊
04:52.3,04:54.6,17,,,,,Wife_W01_WW,他这种行为我不能接受,tā zhè zhǒng xíngwéi Wǒ bùnéng jiēshòu ,His behaviours like this I can't accept,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,不能接受,,,monoglossic,,
04:54.6,04:57.3,17,,,,,Wife_W01_WW,我就认为他不信任的一种态度呀,wǒ jiù rènwéi tā Bù xìnrèn de yī zhǒng tàidù ya,I just think he has an attitude of distrust [+particle ya],hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,不信任,,,contract:proclaim,认为,呀
04:57.6,04:59.0,18,,,,Hostess_W01,Hostess_W01,来看着你的,Lái Kànzhe nǐ de,He came to keep you under surveillance,wife,,,,,,,,,,husband,-ve,judgement,invoke,evoke,,,,,,,
04:59.0,04:59.9,19,,,,Wife_W01_WW,Wife_W01_WW,对呀,duì ya ,Exactly,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,看着你,,,monoglossic,,
05:00.8,05:01.7,20,,,,Husband_W01_AH,Husband_W01_AH,没有,méiyǒu,No,hostess,,看着你,IVoE,没有,reject or question the interpretation,challenge,IVoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,denial,,没有,,,monoglossic,,
05:01.7,05:04.0,20,,,,,Husband_W01_AH,我也没有想过要去监视她,Wǒ yě méiyǒu xiǎngguò yào qù jiānshì tā,"I have never thought about monitoring her, either",hostess,,看着你,IVoE,没有想,reject or question the interpretation,challenge,IVoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,denial,,没有,,,contract:disclaim,也,
05:04.0,05:07.3,20,,,,,Husband_W01_AH,我也没有想过我在这里干什么啊,Wǒ yě méiyǒu xiǎngguò wǒ zài zhèlǐ gànshénme a ,I have never thought about why I sat there,hostess,,看着你,IVoE,没有想,reject or question the interpretation,challenge,IVoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,denial,,没有,,,contract:disclaim,也,啊
05:07.3,05:09.0,20,,,,,Husband_W01_AH,我只是坐在那里坐一下子,wǒ zhǐshì zuò zài nàlǐ zuò yīxià zi ,I just sat there very briefly,hostess,,坐在那里,VoE,坐一下,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,self,+ve,judgement,invoke,evoke,,坐,down:isolated,一下,contract:disclaim,只是,
05:09.0,05:10.5,20,,,,,Husband_W01_AH,你说可不可以坐一下子,nǐ shuō kěbù kěyǐ zuò yīxià zi ,You tell if I could sit there briefly,hostess,,,,,,,,,,self,+ve,judgement,invoke,rhetorical question,,可不可以,down:isolated,一下,expand:entertain,你说,
05:10.5,05:12.4,20,,,,,Husband_W01_AH,她说手中的重要的活,tā shuō shǒuzhōng de zhòngyào de huó ,She said I had important work at the time,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,她说,,,expand:attribute,,
05:12.4,05:15.3,20,,,,,Husband_W01_AH,我还没有想到..什么是重要的活,wǒ hái méiyǒu xiǎngdào.. Shénme shì zhòngyào de huó ,I didn't figure out.. What the important work was,hostess,,重要的活,VoE,没有重要的活,reject the VE,challenge,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,contrast,,她/我,,,expand:entertain,没想到,
05:15.3,05:17.3,20,O,,,,Husband_W01_AH,放下来坐在那里[跟他],fàng xiàlái zuò zài nàlǐ [gēn tā],I put the work down and sat there [with him],hostess,,,,,,,,,,,,,,,,,,,,,
05:17.0,05:20.6,21,O,I,S,Hostess_W01,Hostess_W01,[吭]胡先生所以你的意思是告诉我们..你确实会那样坐在那儿,[Kēng] hú xiānshēng suǒyǐ nǐ de yìsi shì gàosù wǒmen.. Nǐ quèshí huì nàyàng zuò zài nà'er ,Hmm Mr. Hu so you want to tell us.. You did sit there like that,husband,,,,,,,,,,,,,,,,,,,,,
05:20.6,05:22.6,21,,,,,Hostess_W01,但是坐在那儿你什么都没想,dànshì zuò zài nà'er nǐ shénme dōu méi xiǎng ,But while sitting there there was nothing in your mind,husband,,,,,,,,,,,,,,,,,,,,,
05:22.6,05:23.7,22,,,,Husband_W01_AH,Husband_W01_AH,有跟他聊天,yǒu gēn tā liáotiān ,I talked to him,hostess,,,,,,,,,,self,+ve,judgement,invoke,proclaim,,有,,,monoglossic,,
05:23.7,05:24.9,22,,,,,Husband_W01_AH,有跟客户[那个人]聊天,yǒu gēn kèhù [nàgè rén] liáotiān ,I talked to the client [that man] ,hostess,,,,,,,,,,self,+ve,judgement,invoke,proclaim,,有,,,monoglossic,,
05:24.3,05:24.9,23,O,I,,Hostess_W01,Hostess_W01,[客户],[kèhù] ,The client,hostess,,,,,,,,,,,,,,,,,,,,,
05:24.9,05:26.6,24,O,,,Husband_W01_AH,Husband_W01_AH,客户[那个人],kèhù [nàgè rén],The client [that man],hostess,,,,,,,,,,,,,,,,,,,,,
05:25.6,05:28.3,25,O,I,S,Hostess_W01,Hostess_W01,[那你就]告诉我们你过来是招呼[客人]的吧对吧,[Nà nǐ jiù] gàosù wǒmen nǐ guòlái shì zhāohū [kèrén] de ba duì ba ,[Then you just] tell us that you came here to greet [the guest] right,husband,,,,,,,,,,,,,,,,,,,,,
